id,khasi,english,part_of_speech,notes,page
1354,Kylla-jutang,to be capricious,Verb,,
1355,Kylla-lyngkot,January,Noun,,
1356,Kyllan,to rub,Verb,,
1357,Kyllan,to smear,Verb,,
1358,Kylla-prah,to perform a somersault,Verb,,
1359,Kylleng,everywhere,Adverb,,
1360,Kyllep,lonely place,Noun,,
1361,Kyllep,capable of covering the whole length,Adjective,,
1362,Kyllep,unknowingly,Adverb,,
1363,Kylli,to ask,Verb,,
1364,Kylli,to ask for marriage (phai kylli),Verb,,
1365,Kylliang,as a loan,Adverb,,
1366,Kylliang,in return,Adverb,,
1367,Kylliang,loan,Noun,,
1368,Kylliang-ktien,to retort,Verb,,
1369,Kyllon,to fall,Verb,,
1370,Kyllong,very big,Adjective,,
1371,Kylluid,spacious,Adjective,,
1372,Kylluid,plenty of space,Adjective,,
1373,Kyllum,in a lump sum,Adverb,,
1374,Kyllum,as a whole,Adverb,,
1375,Kyllum,to gather up in a heap,Verb,,
1376,Kyllut,deaf,Adjective,,
1377,Kyn-ad,to become swollen (as a boil),Verb,,
1378,Kynbat,herb,Noun,,
1379,Kynbat,weed,Noun,,
1380,Kynbat,medicinal plant,Noun,,
1381,Kynkaw,to shout,Verb,,
1382,Kynkaw,to call out,Verb,,
1383,Kynkhlek,to brandish,Verb,,
1384,Kynkhlek,to flourish,Verb,,
1385,Kynkhlok,to sniff,Verb,,
1386,Kynkhlok,to snore,Verb,,
1387,Kynkok,to crow over a person,Verb,,
1388,Kynda,number = 4,Noun,Traditional counting term,
1389,Kynda,rhinoceros,Noun,,
1390,Kynda,form of corporal punishment in the old Khasi Penal Code,Noun,Historical,
1391,Kyndad,mole,Noun,,
1392,Kyndang,string of flesh or fish,Noun,,
1393,Kyndang,to raise with a lever,Verb,,
1394,Kyndang,to turn over with a lever,Verb,,
1395,Kyndang-kwah,person who desires what cannot be obtained,Noun,,
1396,Kyndap,to fill,Verb,,
1397,Kyndap,to fill up completely,Verb,,
1398,Kyndat,to strike against,Verb,,
1399,Kyndep,to be completely filled,Verb,,
1400,Kyndiah,to move aside,Verb,,
1401,Kyndik,to peck,Verb,,
1402,Kyndit,to start suddenly,Verb,,
1403,Kyndit,to be astonished,Verb,,
1404,Kyndit-bynriew,to regain consciousness,Verb,,
1405,Kyndok,sulphur,Noun,,
1406,Kyndok,lucifer match,Noun,,
1407,Kyndong,corner,Noun,,
1408,Kyndong,carefully wrapped (of small things),Adverb,,
1409,Nongkyndong,villager,Noun,,
1410,Nongkyndong,person from an out-of-the-way place,Noun,,
1411,Kyndoi-jakpoh,to go about from place to place in search of work or food,Verb,,
1412,Kyndon,step,Noun,,
1413,Kyndon,grade,Noun,,
1414,Kyndon,shelf,Noun,,
1415,Kyndop,like a small projecting coping,Adverb,,
1416,Kyndung,carefully wrapped (of a load),Adverb,,
1417,Kynduh,to meet with,Verb,,
1418,Kynduh,to strike against,Verb,,
1419,Kyndup,two palmfuls (made like a bowl),Noun,,
1420,Kyndrip,overhanging,Adjective,,
1421,Kyndur,oven,Noun,,
1422,Kyndur,stove (for baking),Noun,,
1423,Kynha,to shout exultingly,Verb,,
1424,Kynha,to surprise,Verb,,
1425,Kynham,"to give warning by shouting ""ham-ham""",Verb,,
1426,Kynhied,to rebuke,Verb,,
1427,Kynhied,to scold,Verb,,
1428,Kynhied,to command,Verb,,
1429,Kynhoi,"to shout by saying ""hoi-hoi""",Verb,,
1430,Kynhun,flock,Noun,,
1431,Kynhun,herd,Noun,,
1432,Kynhun,band,Noun,,
1433,Kynhun,group,Noun,,
1434,Kyn-ien,breadth of a cloth,Noun,,
1435,Kyn-ieb,raised up (as the lid or covering),Adverb,,
1436,Kynieh,to take by force,Verb,Also splet kuleh,
1437,Kyn-ib,to crow,Verb,,
1438,Kynja,sort,Noun,,
1439,Kynja,kind,Noun,,
1440,Kynja,nature,Noun,,
1441,Kynja,ganja,Noun,,
1442,Kynjak,"to express regret and surprise by making the sound ""k-j-k""",Verb,Onomatopoeic,
1443,Kynjang,elevation,Noun,,
1444,Kynjab,lonely,Adjective,,
1445,Kynjai,peacefully,Adverb,,
1446,Kynjai,at ease,Adverb,,
1447,Kynjai,tranquilly,Adverb,,
1448,Kynjat,to kick,Verb,,
1449,Kynjat,pace (used with numeral adjectives),Noun,,
1450,Kynjing,to be fastidious (of walking),Verb,,
1451,Kynjing,carefully and on tip-toe (walk),Adverb,,
1452,Kynjih,to raise oneself by standing on the toes,Verb,,
1453,Kynjih,to skip,Verb,,
1454,Kynjih,with a springy step,Adverb,,
1455,Kynjlar,with a tapering snout,Adverb,,
1456,Kynjuot,"appearance of a slender, thin woman",Adverb,,
1457,Kynjong,high up,Adverb,,
1458,Kynjong,on the top,Adverb,,
1459,Kynjoh,to aim at,Verb,,
1460,Kynjoh,to reach,Verb,,
1461,Kynjoh,to be ambitious,Verb,,
1462,Kynjoh-khaskain,to perform the housewarming poojah before occupying a newly built house,Verb,,
1463,Kynjoh-khaskain,Khasi housewarming ceremony,Noun,,
1464,Kynjoin,up,Adverb,Usually in jrong-kynjoin,
1465,Kynjoin,aloft,Adverb,,
1466,Kynjrait,to pull with a jerk,Verb,,
1467,Kynjri,chain,Noun,,
1468,Kynjri-tabah,silver or gold chain worn across the shoulders,Noun,,
1469,Kynjri-wahdong,kind of earring,Noun,,
1470,Kynjrot,to pull off bit by bit,Verb,,
1471,Kynjuh,to jolt,Verb,,
1472,Kynjuh,to test the weight of a load,Verb,,
1473,Kynjuin,safely,Adverb,,
1474,Kynjuin,aloft,Adverb,,
1475,Kynjut,to pull out,Verb,,
1476,Kynjut,to feel a throbbing pain,Verb,,
1477,Kynjut-kti,to shake hands,Verb,,
1478,Kynmaw,to remember,Verb,,
1479,Kynmaw,to recollect,Verb,,
1480,Kynmaw,awake,Noun,,
1481,Kynmaw-bynriew,to regain consciousness,Verb,,
1482,Kynmaw-bynriew,to come to oneself,Verb,,
1483,Kynnit,like a tail lifted up,Adverb,,
1484,Kyn-nut,like a long protuberant object,Adverb,Variant form,
1485,Kynmiet,like a long protuberant object,Adverb,Variant form,
1486,Kynnoh,to pronounce,Verb,,
1487,Kynnoh,to blame,Verb,,
1488,Kynnoh,to find fault with,Verb,,
1489,Kyn-oi,to hush,Verb,,
1490,Kyn-oi,to lull a child,Verb,,
1491,Kynpha,to address a male as if he were a female by using feminine pronouns,Verb,,
1492,Kynphara,to help,Verb,,
1493,Kynphara,to assist,Verb,,
1494,Kynphat,cotton,Noun,,
1495,Kynphia,to bluster,Verb,,
1496,Kynphot,like a fop,Adverb,,
1497,Kynphui,to wish to be unlucky (especially in arrow-shooting),Verb,,
1498,Kynphui,bushy,Adjective,,
1499,Kynphuit,to spit violently,Verb,,
1500,Kynphuit,to decry,Verb,,
1501,Kynphut,improvidently,Adverb,,
1502,Kynphut,carelessly,Adverb,,
1503,Kynplam,to dabble,Verb,,
1504,Kynrad,master,Noun,,
1505,Kynrad,lord,Noun,,
1506,Kynrang,to undermine,Verb,,
1507,Kynrang,to dig violently,Verb,,
1508,Kynram,with long horns pointing in opposite directions,Adverb,,
1509,Kynrem,with long moustaches,Adverb,,
1510,Kynran,to retire,Verb,,
1511,Kynran,to go backwards,Verb,,
1512,Kynreng,with long horns like those of a stag,Adverb,,
1513,Kynreng,obstructingly,Adverb,,
1514,Kynrei,abundant,Adjective,,
1515,Kynrei,common,Adjective,,
1516,Kynriang,crooked,Adjective,,
1517,Kynriang,leaning to one side,Adjective,,
1518,Kynriah,to remove,Verb,,
1519,Kynriah,to shift,Verb,,
1520,Kynrih,to sift with a sieve,Verb,,
1521,Kynro,to grope,Verb,,
1522,Kynrong,to raise oneself a little from the seat while sitting,Verb,,
1523,Kynrong,to prop,Verb,,
1524,Kynrong-sh'ing,to perform the ceremony of depositing bones in the common ancestral cairn,Verb,,
1525,Kynrong-sh'ing,to perform a ceremony for depositing the bones in the common ancestral cairn,Verb,,
1526,Kynrud,projecting prominently,Adjective,,
1527,Kynrung,to insert,Verb,,
1528,Kynrung,to put into,Verb,,
1529,Kynrung,to admit,Verb,,
1530,Kynrung-ktien,to interrupt while speaking,Verb,,
1531,Kynrung-shnong,to enter a village,Verb,,
1532,Kynsan,to force,Verb,,
1533,Kynsan,to compel,Verb,,
1534,Kynsaw,to wound,Verb,,
1535,Kynsaw,to injure,Verb,,
1536,Kynsaw,wound,Noun,,
1537,Kynsew,to drive away,Verb,,
1538,Kynsew,to chase,Verb,,
1539,Kynsiem,spirit,Noun,,
1540,Kynsiem,soul,Noun,,
1541,Kynsiem,courage,Noun,,
1542,Kynsih,to become sour,Verb,,
1543,Kynsih,to become unpleasant,Verb,,
1544,Kynsit,to stitch,Verb,,
1545,Kynslem,to become sluggish,Verb,,
1546,Kynsleh,to mix,Verb,,
1547,Kynsleh,to mingle,Verb,,
1548,Kynsleh,mixture,Noun,,
1549,Kynsmai,to swear,Verb,,
1550,Kynsmai,oath,Noun,,
1551,Kynsnam,mark,Noun,,
1552,Kynsnam,sign,Noun,,
1553,Kynsyrdep,to close,Verb,,
1554,Kynsyrdep,to shut,Verb,,
1555,Kyntep,to cover lightly,Verb,,
1556,Kyntep,to spread over,Verb,,
1557,Kyntha,to jerk,Verb,,
1558,Kynthah,to advise,Verb,,
1559,Kynthah,to admonish,Verb,,
1560,Kynthang,holy,Adjective,,
1561,Kynthang,sacred,Adjective,,
1562,Kynthi,to whisper,Verb,,
1563,Kynthoh,to reproach,Verb,,
1564,Kynthoh,to taunt,Verb,,
1565,Kynthoh,to make a blotch or mark,Verb,,
1566,Kynthoh,to criticize,Verb,,
1567,Kynthoh,to comment on,Verb,,
1568,Kynthrui,to give out as decided with a view to win the game,Verb,OCR uncertain in source,
1569,Kynthung,conspicuously (like a big solitary tree),Adverb,,
1570,Kynthun,"with big, fat calves",Adverb,,
1571,Kynthup,modestly; well covered,Adverb,,
1572,Kynthup,to embrace,Verb,,
1573,Kynthup,to clasp,Verb,,
1574,Kynthup,to comprise,Verb,,
1575,Kynthur,with loose garments,Adverb,,
1576,Kynti,to strike with a clenched fist on the back,Verb,,
1577,Kynti,time; occasion,Noun,"e.g. shikynti = once, arkynti = twice",
1578,Kynti,entirely,Adverb,,
1579,Kyntiak,well-formed but small,Adjective,,
1580,Kyntiak,smart,Adjective,,
1581,Kyntiang,to make a clinging noise,Verb,,
1582,Kyntik,"to make a dull sound, as if treading heavily",Verb,,
1583,Kyntien,morsel,Noun,,
1584,Kyntien,word,Noun,,
1585,Kyntiew,to lift,Verb,,
1586,Kyntiew,to impose,Verb,,
1587,Kyntiew,to promote,Verb,,
1588,Kyntiew-kurim,to perform a marriage ceremony,Verb,,
1589,Kyntiew-doh,to be healed (of a wound),Verb,,
1590,Kyntiew-iing,to admit into the house,Verb,,
1591,Kynting,to throw upwards,Verb,,
1592,Kyntip,to ask whether one knows what is being held or thought about,Verb,,
1593,Kyntip,to disavow,Verb,,
1594,Kyntir,with a small tail,Adverb,,
1595,Kynto,to urge,Verb,,
1596,Kynto,to press,Verb,,
1597,Kyntong,like a hillock,Adjective,,
1598,Kyntoi,like a small protuberance,Adverb,,
1599,Kyntoit,cluster of houses,Noun,,
1600,Kyntoit,village,Noun,,
1601,Kynton,to heave,Verb,,
1602,Kynton,heap,Noun,,
1603,Kynton,mound,Noun,,
1604,Kynton,earthen wall,Noun,,
1605,Kyntop (jrong-),like a pig's tail,Adverb,,
1606,Kyntu,to urge,Verb,,
1607,Kyntu,to persuade,Verb,,
1608,Kyntung,like a hill or mound,Adjective,,
1609,Kyntui,largely,Adverb,,
1610,Kyntuit,to urge (in a bad sense),Verb,,
1611,Kyntuit,to instigate,Verb,,
1612,Kyntup,with a long drooping tail like that of a fox,Adverb,,
1613,Kyntur,to push with the nose,Verb,,
1614,Kyntur,to burrow,Verb,,
1615,Kyn-tud,to sing,Verb,,
1616,Kyn-tud,to hum,Verb,,
1617,Kyn-tud,to intone,Verb,,
1618,Kyn-tud,to chant,Verb,,
1619,Kyn-um,brother-in-law,Noun,,
1620,Kyoh,concave notch at the head of an arrow to fit the bowstring,Noun,See K'oh,
1621,Kyr-ang,to crack,Verb,,
1622,Kyr-ang,reddish,Adjective,Used in saw kyr-ang,
1623,Kyr-ah,ring-shaped,Adjective,Like the ring on a rattlesnake's tail,
1624,Kyr-an,short but stout,Adjective,,
1625,Kyrbam,to bite the lower lip,Verb,,
1626,Kyrbei,mantis,Noun,,
1627,Kyrbeit,warped,Adjective,,
1628,Kyrbeit,distorted,Adjective,,
1629,Kyrbeit,to strain,Verb,,
1630,Kyrbeit,to exert oneself,Verb,,
1631,Kyrkait,to shout exultingly,Verb,,
1632,Kyrkhah,phlegm,Noun,,
1633,Kyrkhah,to clear the throat,Verb,,
1634,Kyrkhait,to gnaw with zest,Verb,,
1635,Kyrkhoit,cartilage,Noun,,
1636,Kyrkhu,to bless,Verb,,
1637,Kyrkhu,"to produce the sound ""khu""",Verb,Onomatopoeic,
1638,Kyrkieh,to be in a hurry,Verb,,
1639,Kyrkieh,hastily,Adverb,,
1640,Kyrking,like a small connecting link between two larger bodies,Adverb,,
1641,Kyrking,slender,Adjective,,
1642,Kyrkit,cricket,Noun,,
1643,Kyrkit,playground,Noun,,
1644,Kyrkoh,to crow over a person,Verb,,
1645,Kyrda,to exert oneself,Verb,,
1646,Kyrda,to strive,Verb,,
1647,Kyrda,to use one's strength,Verb,,
1648,Kyrdan,step,Noun,,
1649,Kyrdan,degree,Noun,,
1650,Kyrdan,shelf,Noun,,
1651,Kyrdap,as if wearing something hanging,Adverb,,
1652,Kyrdep,as if wearing something hanging,Adverb,Variant form,
1653,Kyrdat,dangling,Adverb,,
1654,Kyrdem,to stamp with the foot,Verb,,
1655,Kyrdeng,to tighten,Verb,OCR uncertain,
1656,Kyrdet,to stamp repeatedly with the foot,Verb,,
1657,Kyrdih,to draw tightly,Verb,,
1658,Kyrdoh,"to produce the sound ""doh""",Verb,Onomatopoeic; usually in kyrkhu-kyrdoh,
1659,Kyrdong,bent or curved,Adjective,,
1660,Kyrduh,to be exhausted,Verb,,
1661,Kyrduh,to lose strength,Verb,,
1662,Kyrdum,projecting like a stump,Adjective,,
1663,Kyrdup,bulging,Adjective,,
1664,Kyrdur,round and thick,Adjective,,
1665,Kyreh,to twist round,Verb,,
1666,Kyrei,to become crooked,Verb,,
1667,Kyrem,thick-set,Adjective,,
1668,Kyren,to speak indistinctly,Verb,,
1669,Kyrep,to gather into a heap,Verb,,
1670,Kyrep,to pile up,Verb,,
1671,Kyriang,slanting,Adjective,,
1672,Kyrieh,to scratch lightly,Verb,,
1673,Kyrien,to lie slanting,Verb,,
1674,Kyrit,to become stiff,Verb,,
1675,Kyrkhep,cramped,Adjective,,
1676,Kyrkhop,bent inward,Adjective,,
1677,Kyrkit,to peck repeatedly,Verb,,
1678,Kyrkleh,to creep stealthily,Verb,,
1679,Kyrklieh,to bend the head,Verb,,
1680,Kyrklong,rounded,Adjective,,
1681,Kyrkoi,curved,Adjective,,
1682,Kyrkhang,obstructing,Adjective,,
1683,Kyrkhum,stooping,Adjective,,
1684,Kyrkhup,covered over,Adjective,,
1685,Kyrkhyllung,youthful,Adjective,,
1686,Kyrlem,to sink slightly,Verb,,
1687,Kyrlep,folded together,Adjective,,
1688,Kyrlet,intertwined,Adjective,,
1689,Kyrliang,oblique,Adjective,,
1690,Kyrlong,elongated,Adjective,,
1691,Kyrlut,hanging loose,Adjective,,
1692,Kyrmen,to hope,Verb,,
1693,Kyrmen,hope,Noun,,
1694,Kyrni,to whisper softly,Verb,,
1695,Kyrnoh,to accuse,Verb,,
1696,Kyrpad,to entreat,Verb,,
1697,Kyrpad,to beseech,Verb,,
1698,Kyrpang,separate,Adjective,,
1699,Kyrpang,special,Adjective,,
1700,Kyrpat,to clap with the hands,Verb,,
1701,Kyrpat,to clap with the hands,Verb,,
1702,Kyrpat,to strike the hands together,Verb,,
1703,Kyrpeng,projecting prominently,Adjective,,
1704,Kyrpha,to spring up,Verb,,
1705,Kyrphad,to flap,Verb,,
1706,Kyrphang,to spread out,Verb,,
1707,Kyrphar,wide apart,Adjective,,
1708,Kyrphong,swollen,Adjective,,
1709,Kyrphuh,to blow violently,Verb,,
1710,Kyrphut,to burst suddenly,Verb,,
1711,Kyrpit,to tighten,Verb,,
1712,Kyrrai,broad,Adjective,,
1713,Kyrrai,spacious,Adjective,,
1714,Kyrram,rough,Adjective,,
1715,Kyrrang,stiff,Adjective,,
1716,Kyrreh,to coil,Verb,,
1717,Kyrrem,thick,Adjective,,
1718,Kyrreng,upright,Adjective,,
1719,Kyrrit,small,Adjective,,
1720,Kyrroh,to scrape,Verb,,
1721,Kyrrong,projecting,Adjective,,
1722,Kyrrot,rough,Adjective,,
1723,Kyrrup,swollen,Adjective,,
1724,Kyrshah,against,Preposition,,
1725,Kyrshan,to support,Verb,,
1726,Kyrshan,to defend,Verb,,
1727,Kyrshan,support,Noun,,
1728,Kyrshan,prop,Noun,,
1729,Kyrshiap,to sharpen,Verb,,
1730,Kyrshit,cold,Adjective,,
1731,Kyrshong,to sit erect,Verb,,
1732,Kyrshong,upright,Adjective,,
1733,Kyrsi,to scratch lightly,Verb,,
1734,Kyrsiang,sloping,Adjective,,
1735,Kyrsiem,soul,Noun,,
1736,Kyrsiem,spirit,Noun,,
1737,Kyrsoi,to whistle softly,Verb,,
1738,Kyrta,fame,Noun,,
1739,Kyrta,reputation,Noun,,
1740,Kyrta,to proclaim,Verb,,
1741,Kyr-ot,stubborn,Adjective,Easily provoked,
1742,Kyrpill,to pray,Verb,,
1743,Kyrpill,to beg,Verb,,
1744,Kyrpill,to supplicate,Verb,,
1745,Kyrpang,aside,Adverb,,
1746,Kyrpang,separate,Adjective,,
1747,Kyrpang,set apart,Adjective,,
1748,Kyrpang,particular,Adjective,,
1749,Kyrpong,the back of the house,Noun,,
1750,Kyr-sa,to undermine,Verb,"Especially in soft earth or sand, like a mole",
1751,Kyrsan-kyrbah,to call on the gods for the restoration of one's health or prosperity,Verb,,
1752,Kyrsan-rngiew,to call back one's good luck or life by invoking the gods,Verb,,
1753,Kyrsbah,to put on a piece of cloth in front,Verb,Part of traditional women's dress,
1754,Kyrshan,to uphold,Verb,,
1755,Kyrshan,to help,Verb,,
1756,Kyrshan,to support,Verb,,
1757,Kyrshung,wedge-shaped,Adjective,,
1758,Kyrshut,to rub,Verb,,
1759,Kyrsia,to squirt,Verb,,
1760,Kyrsia,to spurt,Verb,,
1761,Kyrsiew,to call up,Verb,,
1762,Kyrsiew,to wake up,Verb,,
1763,Kyrsih,to go on the haunches,Verb,,
1764,Kyrsih,to crawl (as a child),Verb,,
1765,Kyrsong,to become swollen,Verb,Like a boil coming to a head,
1766,Kyrsoi,to ooze,Verb,,
1767,Kyrsoi,to come out,Verb,,
1768,Kyrsuh,to poke,Verb,,
1769,Kyrsum,to wallow,Verb,,
1770,Kyrteng,to name,Verb,,
1771,Kyrteng,name,Noun,,
1772,Kyrtep,evil spirit believed to cause blindness,Noun,Affliction believed to result from a father's adultery,
1773,Kyrthai,to turn round,Verb,As with an auger,
1774,Kyrthat,to sprawl,Verb,,
1775,Kyrthat,to writhe,Verb,,
1776,Kyrthiaw,to twist,Verb,,
1777,Kyrthiaw,to maul,Verb,,
1778,Kyrthom,to tread heavily on dust or mud so as to damage crops,Verb,,
1779,Kyrthup,to bathe in dust or sand,Verb,As a fowl does,
1780,Kyrtiang,to turn round,Verb,,
1781,Kyrtiah,wind-demon,Noun,,
1782,Kyrtiah,storm mixed with rain,Noun,,
1783,Kyrtong,bull,Noun,,
1784,Kyrtong,ox,Noun,,
1785,Kyrtong,hero,Noun,,
1786,Kyrtong,champion,Noun,,
1787,Kyrtong,brave man,Noun,,
1788,Kyrtong,male animal kept for breeding,Noun,,
1789,Kyrtung,projecting upward,Adjective,,
1790,Kyrtung,elevated,Adjective,,
1791,Kyrtung,standing high,Adjective,,
1792,Kyrtup,to cover over completely,Verb,,
1793,Kyrtup,to wrap up,Verb,,
1794,Kyrtup,to envelop,Verb,,
1795,Kyrtut,projecting like a stump,Adjective,,
1796,Kyrtyngeh,to become stiff,Verb,,
1797,Kyrtyngit,darkness,Noun,,
1798,Kyrtyngit,dark,Adjective,,
1799,Kyrtyngit,to become dark,Verb,,
1800,Kyrwa,to branch out,Verb,,
1801,Kyrwai,song,Noun,,
1802,Kyrwai,hymn,Noun,,
1803,Kyrwai,to sing,Verb,,
1804,Kyrwait,to wait,Verb,,
1805,Kyrwait,to expect,Verb,,
1806,Kyrwang,broad at one end,Adjective,,
1807,Kyrwat,to desire earnestly,Verb,,
1808,Kyrwat,to long for,Verb,,
1809,Kyrweh,to wave,Verb,,
1810,Kyrwet,to wipe,Verb,,
1811,Kyrwet,to rub clean,Verb,,
1812,Kyrwiang,to spread widely,Verb,,
1813,Kyrwit,to hinder,Verb,,
1814,Kyrwit,to obstruct,Verb,,
1815,Kyrwoh,to fasten,Verb,,
1816,Kyrwoh,to hook,Verb,,
1817,Kyrwoh,to attach,Verb,,
1818,Kyrwong,bent outward,Adjective,,
1819,Kyrwut,to pull out suddenly,Verb,,
1820,Kysai,to choose,Verb,,
1821,Kysai,selected,Adjective,,
1822,Kysan,suddenly,Adverb,,
1823,Kysan,unexpectedly,Adverb,,
1824,Kysap,to insert,Verb,,
1825,Kysat,to thrust in,Verb,,
1826,Kysaw,to wound,Verb,,
1827,Kysaw,to injure,Verb,,
1828,Kysaw,wound,Noun,,
1829,Kysew,to chase away,Verb,,
1830,Kysew,to drive away,Verb,,
1831,Kysiem,spirit,Noun,,
1832,Kysiem,soul,Noun,,
1833,Kysih,to become sour,Verb,,
1834,Kysit,to stitch,Verb,,
1835,Kyslem,to become sluggish,Verb,,
1836,Kysleh,to mix,Verb,,
1837,Kysleh,to mingle,Verb,,
1838,Kysmai,to swear,Verb,,
1839,Kysmai,oath,Noun,,
1840,Kysnam,mark,Noun,,
1841,Kysnam,sign,Noun,,
1842,Kysyrdep,to shut,Verb,,
1843,Kysyrdep,to close,Verb,,
1844,Kyt,to carry on the shoulder,Verb,,
1845,Kyt,to bear,Verb,,
1846,Kytang,to bind together,Verb,,
1847,Kytang,to tie fast,Verb,,
1848,Kytap,to cover,Verb,,
1849,Kytap,to shut over,Verb,,
1850,Kytdem,to bend down,Verb,,
1851,Kytduh,to come to an end,Verb,,
1852,Kyteh,to tie,Verb,,
1853,Kyteh,to bind,Verb,,
1854,Kythah,to warn,Verb,,
1855,Kythah,to caution,Verb,,
1856,Kythai,to wave,Verb,,
1857,Kythang,bitter,Adjective,,
1858,Kythaw,grandfather,Noun,,
1859,Kythaw kurim,father-in-law,Noun,,
1860,Kythik,upright,Adjective,,
1861,Kythik,standing erect,Adjective,,
1862,Kyti,hand,Noun,,
1863,Kytiar,centipede,Noun,,
1864,Kytik,to tickle,Verb,,
1865,Kytieh,mud,Noun,,
1866,Kytieh,paddy field,Noun,,
1867,Kytien,word,Noun,,
1868,Kytien,speech,Noun,,
1869,Kytub,to mumble,Verb,,
1870,Kytud,to crawl slowly,Verb,,
1871,Kytung,preserved fish,Noun,,
1872,Kytui,very muddy,Adjective,,
1873,Kytur,sulphurous glow,Noun,,
1874,Kytur,sulphurous glow,Noun,,
1875,Kytur,reddish glare,Noun,,
1876,Kytut,to pierce,Verb,,
1877,Kytut,to prick,Verb,,
1878,Kytweng,to throw aside,Verb,,
1879,Kytweng,to reject,Verb,,
1880,Kywut,projecting like a stump,Adjective,,
1881,K'oh,notch at the head of an arrow for receiving the bow-string,Noun,,
1882,K'oh,to notch,Verb,,
1883,K'ong,to bend,Verb,,
1884,K'ong,to stoop,Verb,,
1885,K'ot,to cut off,Verb,,
1886,K'ot,to sever,Verb,,
1887,K'u,to cry aloud,Verb,,
1888,K'u,loud cry,Noun,,
1889,K'wai,betel nut,Noun,,
1890,K'wai,areca nut,Noun,,
1891,K'wai,to chew betel nut,Verb,,
1892,K'wan,to desire,Verb,,
1893,K'wan,to long for,Verb,,
1894,K'weng,to cast away,Verb,,
1895,K'weng,to throw aside,Verb,,
1896,K'wet,to wipe,Verb,,
1897,K'wet,to rub clean,Verb,,
1898,K'wit,to hinder,Verb,,
1899,K'wit,to obstruct,Verb,,
1900,K'woh,to hook,Verb,,
1901,K'woh,to fasten with a hook,Verb,,
1902,K'woh,to attach,Verb,,
1903,K'yntang,holy,Adjective,Variant spelling,
1904,K'yntang,sacred,Adjective,Variant spelling,
1905,K'yntiew,flower,Noun,Variant spelling,
1906,K'yntiew,blossom,Noun,Variant spelling,
1907,K'yntur,to stretch forward,Verb,Variant spelling,
1908,K'yntur,to extend,Verb,Variant spelling,
1909,K'ynduh,to meet,Verb,Variant spelling,
1910,K'ynduh,to encounter,Verb,Variant spelling,
1826,Kysaw,to wound,Verb,,
1827,Kysaw,to injure,Verb,,
1828,Kysaw,wound,Noun,,
1829,Kysew,to chase away,Verb,,
1830,Kysew,to drive away,Verb,,
1831,Kysiem,spirit,Noun,,
1832,Kysiem,soul,Noun,,
1833,Kysih,to become sour,Verb,,
1834,Kysit,to stitch,Verb,,
1835,Kyslem,to become sluggish,Verb,,
1836,Kysleh,to mix,Verb,,
1837,Kysleh,to mingle,Verb,,
1838,Kysmai,to swear,Verb,,
1839,Kysmai,oath,Noun,,
1840,Kysnam,mark,Noun,,
1841,Kysnam,sign,Noun,,
1842,Kysyrdep,to shut,Verb,,
1843,Kysyrdep,to close,Verb,,
1844,Kyt,to carry on the shoulder,Verb,,
1845,Kyt,to bear,Verb,,
1846,Kytang,to bind together,Verb,,
1847,Kytang,to tie fast,Verb,,
1848,Kytap,to cover,Verb,,
1849,Kytap,to shut over,Verb,,
1850,Kytdem,to bend down,Verb,,
1851,Kytduh,to come to an end,Verb,,
1852,Kyteh,to tie,Verb,,
1853,Kyteh,to bind,Verb,,
1854,Kythah,to warn,Verb,,
1855,Kythah,to caution,Verb,,
1856,Kythai,to wave,Verb,,
1857,Kythang,bitter,Adjective,,
1858,Kythaw,grandfather,Noun,,
1859,Kythaw kurim,father-in-law,Noun,,
1860,Kythik,upright,Adjective,,
1861,Kythik,standing erect,Adjective,,
1862,Kyti,hand,Noun,,
1863,Kytiar,centipede,Noun,,
1864,Kytik,to tickle,Verb,,
1865,Kytieh,mud,Noun,,
1866,Kytieh,paddy field,Noun,,
1867,Kytien,word,Noun,,
1868,Kytien,speech,Noun,,
1869,Kytub,to mumble,Verb,,
1870,Kytud,to crawl slowly,Verb,,
1871,Kytung,preserved fish,Noun,,
1872,Kytui,very muddy,Adjective,,
1873,Kytur,sulphurous glow,Noun,,
1911,K'u,to cry aloud,Verb,,
1912,K'u,loud cry,Noun,,
1913,K'wai,betel-nut,Noun,,
1914,K'wai,areca-nut,Noun,,
1915,K'wai,to chew betel-nut,Verb,,
1916,K'wan,to desire,Verb,,
1917,K'wan,to long for,Verb,,
1918,K'weng,to throw aside,Verb,,
1919,K'weng,to cast away,Verb,,
1920,K'wet,to wipe,Verb,,
1921,K'wet,to rub clean,Verb,,
1922,K'wit,to hinder,Verb,,
1923,K'wit,to obstruct,Verb,,
1924,K'woh,to fasten with a hook,Verb,,
1925,K'woh,to hook,Verb,,
1926,K'woh,to attach,Verb,,
1928,La,already,Particle,,
1929,La,indeed,Particle,,
1930,Laba,enough,Adjective,,
1931,Laba,sufficient,Adjective,,
1932,Labang,broad,Adjective,,
1933,Labang,wide,Adjective,,
1934,Labot,fortune,Noun,,
1935,Labot,luck,Noun,,
1936,Lada,if,Conjunction,,
1937,Lade,self,Pronoun,,
1938,Lade-hi,oneself,Pronoun,,
1939,Ladoh,flesh,Noun,,
1940,Lad,way,Noun,,
1941,Lad,road,Noun,,
1942,Lad,opportunity,Noun,,
1943,Lad jingïaid,pathway,Noun,,
